CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350121.00,5350121.00,27.5,114000.0
5350122.00,5350122.00,25.5,97000.0
5350123.00,5350123.00,0.0,70000.0
5350124.00,5350124.00,27.5,92000.0
5350125.00,5350125.00,13.8,258000.0
5350126.00,5350126.00,12.2,144000.0
5350127.00,5350127.00,15.4,134000.0
5350128.02,5350128.02,35.7,82000.0
5350128.04,5350128.04,29.9,80000.0
5350128.05,5350128.05,20.5,102000.0
5350128.06,5350128.06,21.8,73500.0
5350129.00,5350129.00,14.9,110000.0
5350130.00,5350130.00,18.1,196000.0
5350131.00,5350131.00,22.2,118000.0
5350132.00,5350132.00,14.4,119000.0
5350133.00,5350133.00,21.4,77500.0
5350134.00,5350134.00,13.5,170000.0
5350135.00,5350135.00,16.7,82000.0
5350136.01,5350136.01,31.9,70000.0
5350136.02,5350136.02,43.3,70000.0
5350137.00,5350137.00,17.6,89000.0
5350138.00,5350138.00,17.2,194000.0
5350139.01,5350139.01,16.6,112000.0
5350139.02,5350139.02,17.4,198000.0
5350140.00,5350140.00,9.1,286000.0
5350141.01,5350141.01,14.3,168000.0
5350141.02,5350141.02,15.4,188000.0
5350142.00,5350142.00,14.6,151000.0
5350150.00,5350150.00,13.1,164000.0
5350151.00,5350151.00,18.2,66000.0
5350152.00,5350152.00,13.5,130000.0
5350153.00,5350153.00,20.8,88000.0
5350154.00,5350154.00,26.3,75000.0
5350155.00,5350155.00,20.3,59600.0
5350156.01,5350156.01,20.3,55200.0
5350156.02,5350156.02,21.8,78000.0
5350157.00,5350157.00,25.0,72000.0
5350158.00,5350158.00,31.8,57600.0
5350159.01,5350159.01,17.3,83000.0
5350159.02,5350159.02,22.0,88000.0
5350160.00,5350160.00,20.6,89000.0
5350161.00,5350161.00,17.5,86000.0
5350162.00,5350162.00,19.6,77000.0
5350163.00,5350163.00,14.9,85000.0
5350164.00,5350164.00,19.0,89000.0
5350165.00,5350165.00,13.6,93000.0
5350166.00,5350166.00,11.4,115000.0
5350167.01,5350167.01,31.3,74000.0
5350167.02,5350167.02,21.0,70000.0
5350168.00,5350168.00,16.0,64500.0
5350169.01,5350169.01,19.0,84000.0
5350169.02,5350169.02,26.0,79000.0
5350170.00,5350170.00,17.0,84000.0
5350171.00,5350171.00,28.6,65500.0
5350172.00,5350172.00,19.6,59200.0
5350173.00,5350173.00,23.4,63200.0
5350174.00,5350174.00,26.0,73000.0
5350175.01,5350175.01,34.0,61200.0
5350175.02,5350175.02,36.6,56400.0
5350176.00,5350176.00,10.7,97000.0
5350180.00,5350180.00,24.2,70000.0
5350181.01,5350181.01,18.1,110000.0
5350181.02,5350181.02,17.9,82000.0
5350182.00,5350182.00,16.2,117000.0
5350183.01,5350183.01,15.0,106000.0
5350183.02,5350183.02,14.4,119000.0
5350184.01,5350184.01,17.1,74500.0
5350184.02,5350184.02,20.0,82000.0
5350185.01,5350185.01,23.6,66500.0
5350185.02,5350185.02,21.9,71500.0
5350186.00,5350186.00,14.9,159000.0
5350187.00,5350187.00,19.4,118000.0
5350188.00,5350188.00,17.5,108000.0
5350189.00,5350189.00,16.8,74000.0
5350190.01,5350190.01,36.1,67000.0
5350190.02,5350190.02,29.3,64500.0
5350191.00,5350191.00,16.1,88000.0
5350192.00,5350192.00,33.3,56000.0
5350193.00,5350193.00,10.8,116000.0
5350194.01,5350194.01,54.5,65500.0
5350194.02,5350194.02,0.0,68500.0
5350194.03,5350194.03,,51200.0
5350194.04,5350194.04,39.3,76000.0
5350195.01,5350195.01,12.9,153000.0
5350195.02,5350195.02,18.8,141000.0
5350196.01,5350196.01,17.1,138000.0
5350196.02,5350196.02,14.6,148000.0
5350200.01,5350200.01,37.3,68000.0
5350200.02,5350200.02,22.2,54400.0
5350201.00,5350201.00,22.9,80000.0
5350202.00,5350202.00,18.5,112000.0
5350203.00,5350203.00,17.3,90000.0
5350204.00,5350204.00,17.3,77500.0
5350206.01,5350206.01,27.0,84000.0
5350206.02,5350206.02,18.2,81000.0
5350207.00,5350207.00,23.1,77500.0
5350208.00,5350208.00,24.8,57600.0
5350209.00,5350209.00,19.4,61600.0
5350210.01,5350210.01,15.8,136000.0
5350210.03,5350210.03,39.4,91000.0
5350210.04,5350210.04,41.0,89000.0
5350211.00,5350211.00,16.7,101000.0
5350212.00,5350212.00,14.0,114000.0
5350213.01,5350213.01,13.9,114000.0
5350213.02,5350213.02,34.3,90000.0
5350214.00,5350214.00,30.4,99000.0
5350215.00,5350215.00,19.4,107000.0
5350216.00,5350216.00,13.7,140000.0
5350217.00,5350217.00,23.0,62800.0
5350218.00,5350218.00,17.9,174000.0
5350219.00,5350219.00,15.1,136000.0
5350220.00,5350220.00,22.0,103000.0
5350221.01,5350221.01,17.3,106000.0
